Latitude,Longitude,name,distance,address,telephone,rating,open_true
49.263025,-123.113913,Pacific Ballet Theatre School,69,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,False
49.254508,-123.114891,Cineplex Inc,887,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,False
49.281878,-123.124201,Cineplex Inc,830,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,True
49.28057,-123.119384,Vancouver Civic Theatres,690,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,False
49.281089,-123.112776,Vancouver Civic Theatres,977,"600 Hamilton St, Vancouver BC V6B 3L4",(604) 665-3050,,False
49.2803,-123.106705,Cineplex Cinemas,256,"88 W Pender St (btwn Abbott & Carrall), Vancouver BC V6B 2L1",(604) 806-0799,6.7,False
49.282767,-123.109268,Kokoro Dance Theatre Society,339,"207 Hastings St W, Vancouver BC V6B 1H7",(604) 662-7441,,True
49.281089,-123.112776,Vancouver Civic Theatres,240,"600 Hamilton St, Vancouver BC V6B 3L4",(604) 665-3050,,False
49.280419,-123.106959,Cineplex Inc,242,"88 West Pender, Vancouver BC V6B 6N9",(604) 806-0799,,False
49.263025,-123.113913,Pacific Ballet Theatre School,271,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,False
49.254508,-123.114891,Cineplex Inc,684,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,False
49.263025,-123.113913,Pacific Ballet Theatre School,309,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,False
49.263025,-123.113913,Pacific Ballet Theatre School,876,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,False
49.263025,-123.113913,Pacific Ballet Theatre School,723,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,False
49.2803,-123.106705,Cineplex Cinemas,956,"88 W Pender St (btwn Abbott & Carrall), Vancouver BC V6B 2L1",(604) 806-0799,6.7,False
49.280419,-123.106959,Cineplex Inc,986,"88 West Pender, Vancouver BC V6B 6N9",(604) 806-0799,,False
49.2803,-123.106705,Cineplex Cinemas,901,"88 W Pender St (btwn Abbott & Carrall), Vancouver BC V6B 2L1",(604) 806-0799,6.7,False
49.282767,-123.109268,Kokoro Dance Theatre Society,558,"207 Hastings St W, Vancouver BC V6B 1H7",(604) 662-7441,,True
49.283694,-123.112106,SHIFT Theatre Society,395,"422 Richards St, Vancouver BC V6B 2Z4",(778) 300-1852,,False
49.281089,-123.112776,Vancouver Civic Theatres,680,"600 Hamilton St, Vancouver BC V6B 3L4",(604) 665-3050,,False
49.281878,-123.124201,Cineplex Inc,414,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,True
49.2803,-123.106705,Cineplex Cinemas,895,"88 W Pender St (btwn Abbott & Carrall), Vancouver BC V6B 2L1",(604) 806-0799,6.7,False
49.28057,-123.119384,Vancouver Civic Theatres,213,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,False
49.282767,-123.109268,Kokoro Dance Theatre Society,673,"207 Hastings St W, Vancouver BC V6B 1H7",(604) 662-7441,,True
49.281878,-123.124201,Cineplex Inc,709,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,True
49.282767,-123.109268,Kokoro Dance Theatre Society,827,"207 Hastings St W, Vancouver BC V6B 1H7",(604) 662-7441,,True
49.283694,-123.112106,SHIFT Theatre Society,601,"422 Richards St, Vancouver BC V6B 2Z4",(778) 300-1852,,False
49.28057,-123.119384,Vancouver Civic Theatres,727,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,False
49.28057,-123.119384,Vancouver Civic Theatres,795,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,False
49.281089,-123.112776,Vancouver Civic Theatres,927,"600 Hamilton St, Vancouver BC V6B 3L4",(604) 665-3050,,False
49.281878,-123.124201,Cineplex Inc,181,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,True
49.28057,-123.119384,Vancouver Civic Theatres,312,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,False
49.282767,-123.109268,Kokoro Dance Theatre Society,929,"207 Hastings St W, Vancouver BC V6B 1H7",(604) 662-7441,,True
49.281089,-123.112776,Vancouver Civic Theatres,700,"600 Hamilton St, Vancouver BC V6B 3L4",(604) 665-3050,,False
49.2803,-123.106705,Cineplex Cinemas,970,"88 W Pender St (btwn Abbott & Carrall), Vancouver BC V6B 2L1",(604) 806-0799,6.7,False
49.282767,-123.109268,Kokoro Dance Theatre Society,644,"207 Hastings St W, Vancouver BC V6B 1H7",(604) 662-7441,,True
