Station Name,bike_latitude,bike_longitude,Bikes Available,cine_latitude,cine_longitude,name,distance,address,telephone,rating,open_true
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,69,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,887,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,271,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,684,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,309,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,876,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,723,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,474,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,485,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,776,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,872,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,460,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,643,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,620,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,640,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,896,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,456,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,819,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,855,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,831,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,361,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,953,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,963,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,679,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,621,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,554,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,756,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,979,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,140,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,969,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,395,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,504,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,746,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,933,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,35,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,914,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,391,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,999,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,831,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,563,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,387,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,332,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.263025,-123.113913,Pacific Ballet Theatre School,525,"456 Broadway W, Vancouver BC V5Y 1R3",(604) 873-5024,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,893,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,354,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
10th & Cambie,49.262487,-123.114397,20,49.254508,-123.114891,Cineplex Inc,598,"3440 Cambie St, Vancouver BC V5Z 2W8",(604) 709-3456,,0
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.281878,-123.124201,Cineplex Inc,830,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,1
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.28057,-123.119384,Vancouver Civic Theatres,690,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,0
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.281878,-123.124201,Cineplex Inc,414,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,1
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.28057,-123.119384,Vancouver Civic Theatres,213,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,0
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.281878,-123.124201,Cineplex Inc,709,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,1
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.28057,-123.119384,Vancouver Civic Theatres,727,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,0
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.28057,-123.119384,Vancouver Civic Theatres,795,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,0
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.281878,-123.124201,Cineplex Inc,181,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,1
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.28057,-123.119384,Vancouver Civic Theatres,312,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,0
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.281878,-123.124201,Cineplex Inc,716,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,1
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.28057,-123.119384,Vancouver Civic Theatres,245,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,0
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.281878,-123.124201,Cineplex Inc,623,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,1
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.281878,-123.124201,Cineplex Inc,865,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,1
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.28057,-123.119384,Vancouver Civic Theatres,571,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,0
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.281878,-123.124201,Cineplex Inc,821,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,1
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.28057,-123.119384,Vancouver Civic Theatres,968,"823 Seymour St, Vancouver BC V6B 3L4",(604) 665-3050,,0
Yaletown-Roundhouse Station,49.274566,-123.121817,11,49.281878,-123.124201,Cineplex Inc,146,"900 Burrard St, Vancouver BC V6Z 3G5",(604) 630-1416,,1
